Event,ID,Stream,Time,Pclass
17500, 1, 2,8.80755e-09,1
17500, 1, 4,8.89486e-09,1
17500, 1, 6,8.98217e-09,1
17500, 1, 8,9.06948e-09,1
17500, 1, 10,9.2441e-09,1
17500, 1, 10,9.2441e-09,1
17500, 1, 10,9.27321e-09,1
17500, 1, 10,9.27321e-09,1
17500, 2, 5,9.30231e-09,1
17500, 1, 12,9.47693e-09,1
17500, 1, 12,9.47693e-09,1
17500, 2, 9,9.53514e-09,1
17500, 1, 12,9.53514e-09,1
17500, 2, 7,9.53514e-09,1
17500, 2, 3,9.70977e-09,1
17500, 1, 14,9.79708e-09,1
17500, 1, 16,1.02336e-08,1
17500, 1, 16,1.02336e-08,1
17500, 1, 18,1.05829e-08,1
17500, 1, 20,1.11359e-08,1
17500, 1, 20,1.11359e-08,1
17500, 2, 0,1.12814e-08,1
17503, 1, 2,7.96754e-08,3
17503, 1, 4,7.97045e-08,3
17503, 1, 6,7.97336e-08,3
17503, 1, 8,7.97627e-08,3
17503, 1, 10,7.98209e-08,3
17503, 1, 10,7.98209e-08,3
17503, 1, 12,7.99082e-08,3
17503, 1, 12,7.99082e-08,3
17503, 1, 14,7.99955e-08,3
17503, 1, 14,7.99955e-08,3
17503, 2, 3,8.00828e-08,3
17503, 1, 16,8.01119e-08,3
17503, 1, 18,8.02283e-08,3
17503, 1, 20,8.03739e-08,3
17503, 2, 5,8.04903e-08,3
17503, 2, 6,8.05485e-08,3
17503, 2, 5,8.45648e-08,3
17503, 2, 5,9.14915e-08,3
17504, 1, 2,1.15153e-07,5
17504, 1, 4,1.15182e-07,5
17504, 1, 6,1.15182e-07,5
17504, 1, 8,1.15182e-07,5
17504, 1, 10,1.15211e-07,5
17504, 1, 10,1.15211e-07,5
17504, 1, 12,1.1524e-07,5
17504, 1, 12,1.1524e-07,5
17504, 1, 14,1.15269e-07,5
17504, 1, 14,1.15269e-07,5
17504, 1, 16,1.15298e-07,5
17504, 1, 16,1.15298e-07,5
17504, 1, 16,1.15298e-07,5
17504, 2, 5,1.15298e-07,5
17504, 1, 18,1.15328e-07,5
17504, 1, 18,1.15328e-07,5
17504, 1, 20,1.15386e-07,5
17504, 1, 20,1.15386e-07,5
17504, 2, 6,1.15415e-07,5
17504, 2, 2,1.15415e-07,5
17506, 1, 20,1.5584e-07,4
17506, 1, 20,1.5584e-07,4
17506, 1, 18,1.55898e-07,4
17506, 1, 16,1.55927e-07,4
17506, 1, 16,1.55927e-07,4
17506, 1, 14,1.55957e-07,4
17506, 1, 14,1.55957e-07,4
17506, 1, 14,1.55957e-07,4
17506, 1, 12,1.55986e-07,4
17506, 1, 12,1.55986e-07,4
17506, 2, 3,1.55986e-07,4
17506, 1, 10,1.56015e-07,4
17506, 1, 10,1.56015e-07,4
17506, 2, 6,1.56044e-07,4
17506, 1, 8,1.56044e-07,4
17506, 1, 6,1.56044e-07,4
17506, 1, 4,1.56044e-07,4
17506, 1, 2,1.56073e-07,4
17506, 2, 2,1.56102e-07,4
17506, 2, 4,1.56102e-07,4
17506, 2, 10,1.56102e-07,4
17506, 2, 0,1.64542e-07,4
17507, 2, 5,1.84973e-07,5
17507, 1, 2,1.88262e-07,5
17507, 1, 6,1.88291e-07,5
17507, 1, 8,1.88291e-07,5
17507, 1, 10,1.88291e-07,5
17507, 1, 10,1.88291e-07,5
17507, 1, 12,1.88349e-07,5
17507, 1, 12,1.88349e-07,5
17507, 2, 5,1.88349e-07,5
17507, 1, 14,1.88378e-07,5
17507, 1, 14,1.88378e-07,5
17507, 1, 16,1.88407e-07,5
17507, 1, 16,1.88407e-07,5
17507, 1, 18,1.88436e-07,5
17507, 1, 18,1.88436e-07,5
17507, 1, 20,1.88495e-07,5
17507, 1, 20,1.88495e-07,5
17507, 2, 7,1.88524e-07,5
17507, 2, 9,1.88524e-07,5
17507, 2, 5,1.93821e-07,5
17508, 1, 18,2.0424e-07,0
17508, 1, 18,2.0424e-07,0
17508, 1, 16,2.04647e-07,0
17508, 1, 16,2.04647e-07,0
17508, 1, 14,2.05084e-07,0
17508, 1, 14,2.05084e-07,0
17508, 2, 3,2.05229e-07,0
17508, 1, 12,2.05404e-07,0
17508, 1, 10,2.05695e-07,0
17508, 1, 10,2.05695e-07,0
17508, 1, 8,2.0584e-07,0
17508, 1, 6,2.05928e-07,0
17508, 1, 4,2.06015e-07,0
17508, 1, 2,2.06073e-07,0
17509, 1, 2,2.26126e-07,1
17509, 1, 4,2.26184e-07,1
17509, 1, 6,2.263e-07,1
17509, 1, 8,2.26388e-07,1
17509, 1, 10,2.26592e-07,1
17509, 1, 10,2.26592e-07,1
17509, 1, 12,2.26795e-07,1
17509, 1, 12,2.26795e-07,1
17509, 2, 5,2.26824e-07,1
17509, 1, 14,2.27174e-07,1
17509, 1, 14,2.27174e-07,1
17509, 1, 16,2.27523e-07,1
17509, 1, 18,2.2793e-07,1
17509, 1, 18,2.2793e-07,1
17509, 1, 20,2.28483e-07,1
17509, 1, 2,2.48623e-07,1
17509, 1, 4,2.48681e-07,1
17509, 1, 6,2.48798e-07,1
17509, 1, 8,2.48885e-07,1
17509, 1, 10,2.49089e-07,1
17509, 1, 10,2.49089e-07,1
17509, 1, 12,2.49292e-07,1
17509, 1, 12,2.49292e-07,1
17509, 2, 5,2.49292e-07,1
17509, 1, 14,2.49671e-07,1
17509, 1, 14,2.49671e-07,1
17509, 1, 16,2.5002e-07,1
17511, 2, 5,2.80725e-07,3
17511, 1, 2,2.958e-07,3
17511, 1, 4,2.958e-07,3
17511, 1, 8,2.95859e-07,3
17511, 1, 10,2.95917e-07,3
17511, 1, 10,2.95917e-07,3
17511, 1, 10,2.95917e-07,3
17511, 1, 10,2.95917e-07,3
17511, 2, 5,2.95975e-07,3
17511, 1, 12,2.96004e-07,3
17511, 2, 9,2.96033e-07,3
17511, 1, 14,2.96121e-07,3
17511, 1, 14,2.96121e-07,3
17511, 1, 16,2.96237e-07,3
17511, 1, 16,2.96237e-07,3
17511, 1, 16,2.96237e-07,3
17511, 1, 18,2.96353e-07,3
17511, 1, 18,2.96382e-07,3
17511, 1, 20,2.96528e-07,3
17511, 1, 20,2.96528e-07,3
17513, 1, 18,3.34567e-07,0
17513, 1, 18,3.34654e-07,0
17513, 1, 18,3.34654e-07,0
17513, 1, 18,3.34654e-07,0
17513, 2, 0,3.34741e-07,0
17513, 1, 16,3.35061e-07,0
17513, 1, 16,3.35061e-07,0
17513, 1, 14,3.35353e-07,0
17513, 1, 14,3.35353e-07,0
17513, 1, 12,3.35731e-07,0
17513, 1, 12,3.35731e-07,0
17513, 1, 10,3.35993e-07,0
17513, 1, 10,3.35993e-07,0
17513, 1, 8,3.36138e-07,0
17513, 2, 5,3.36138e-07,0
17513, 1, 6,3.36226e-07,0
17513, 1, 6,3.36226e-07,0
17513, 1, 4,3.36313e-07,0
17513, 1, 2,3.36371e-07,0
17513, 2, 3,3.47954e-07,0
17514, 2, 5,3.65068e-07,2
17514, 2, 3,3.69957e-07,2
17514, 1, 20,3.71383e-07,2
17514, 1, 20,3.71383e-07,2
17514, 1, 18,3.71499e-07,2
17514, 1, 18,3.71499e-07,2
17514, 2, 0,3.71587e-07,2
17514, 1, 16,3.71616e-07,2
17514, 1, 16,3.71616e-07,2
17514, 1, 14,3.71761e-07,2
17514, 1, 14,3.71761e-07,2
17514, 1, 12,3.71849e-07,2
17514, 1, 12,3.71849e-07,2
17514, 1, 10,3.71936e-07,2
17514, 1, 10,3.71936e-07,2
17514, 2, 6,3.71936e-07,2
17514, 2, 3,3.71994e-07,2
17514, 1, 8,3.71994e-07,2
17514, 1, 6,3.72023e-07,2
17514, 1, 4,3.72082e-07,2
17514, 1, 2,3.72082e-07,2
17515, 2, 5,3.75137e-07,5
17515, 1, 2,3.92396e-07,5
17515, 1, 4,3.92396e-07,5
17515, 1, 6,3.92396e-07,5
17515, 1, 10,3.92425e-07,5
17515, 1, 10,3.92425e-07,5
17515, 1, 10,3.92425e-07,5
17515, 1, 10,3.92425e-07,5
17515, 1, 10,3.92425e-07,5
17515, 2, 5,3.92425e-07,5
17515, 1, 12,3.92454e-07,5
17515, 1, 12,3.92454e-07,5
17515, 1, 14,3.92483e-07,5
17515, 1, 14,3.92483e-07,5
17515, 2, 9,3.92483e-07,5
17515, 1, 16,3.92512e-07,5
