Event,ID,Stream,Time,Pclass
99501, 2, 0,2.48782e-08,4
99501, 2, 9,2.48782e-08,4
99501, 2, 3,2.67409e-08,4
99501, 2, 7,2.67409e-08,4
99501, 2, 1,2.7905e-08,4
99501, 2, 6,2.90692e-08,4
99501, 2, 3,2.9302e-08,4
99501, 2, 3,3.04662e-08,4
99501, 2, 7,3.04662e-08,4
99501, 2, 0,3.2096e-08,4
99501, 2, 7,3.2096e-08,4
99501, 2, 0,3.27945e-08,4
99501, 2, 1,3.44243e-08,4
99501, 2, 11,3.44243e-08,4
99501, 1, 10,3.50852e-08,4
99501, 1, 10,3.50856e-08,4
99501, 2, 1,3.51228e-08,4
99501, 1, 9,3.51249e-08,4
99501, 1, 9,3.51252e-08,4
99501, 2, 11,3.51228e-08,4
99501, 1, 8,3.51608e-08,4
99501, 1, 8,3.51611e-08,4
99501, 1, 7,3.52021e-08,4
99501, 1, 7,3.52024e-08,4
99501, 1, 7,3.52039e-08,4
99501, 1, 7,3.52046e-08,4
99501, 1, 6,3.52307e-08,4
99501, 1, 6,3.52309e-08,4
99501, 1, 5,3.52598e-08,4
99501, 1, 5,3.52603e-08,4
99501, 1, 4,3.52773e-08,4
99501, 1, 3,3.5284e-08,4
99501, 1, 2,3.52955e-08,4
99501, 1, 1,3.52999e-08,4
99501, 2, 3,3.55884e-08,4
99501, 2, 1,3.76839e-08,4
99501, 2, 11,3.76839e-08,4
99501, 2, 4,3.95466e-08,4
99501, 2, 8,3.95466e-08,4
99501, 2, 3,4.1642e-08,4
99501, 2, 4,4.1642e-08,4
99501, 2, 8,4.1642e-08,4
99501, 2, 3,4.35047e-08,4
99501, 2, 7,4.35047e-08,4
99501, 2, 1,4.35047e-08,4
99501, 2, 1,4.46688e-08,4
99501, 2, 11,4.49017e-08,4
99501, 2, 1,4.60658e-08,4
99501, 2, 11,4.60658e-08,4
99501, 2, 4,4.69971e-08,4
99501, 2, 4,4.79285e-08,4
99501, 2, 8,4.79285e-08,4
99501, 2, 3,4.93255e-08,4
99501, 2, 7,4.93255e-08,4
99503, 1, 10,7.5258e-08,2
99503, 1, 10,7.52592e-08,2
99503, 2, 1,7.54025e-08,2
99503, 2, 11,7.54025e-08,2
99503, 1, 9,7.54141e-08,2
99503, 1, 9,7.54155e-08,2
99503, 1, 8,7.55532e-08,2
99503, 1, 8,7.55546e-08,2
99503, 1, 7,7.56591e-08,2
99503, 1, 7,7.56605e-08,2
99503, 1, 6,7.57796e-08,2
99503, 1, 6,7.57807e-08,2
99503, 1, 5,7.58629e-08,2
99503, 1, 5,7.58641e-08,2
99503, 1, 5,7.5869e-08,2
99503, 1, 5,7.58703e-08,2
99503, 1, 4,7.59162e-08,2
99503, 1, 3,7.59485e-08,2
99503, 1, 2,7.59767e-08,2
99503, 1, 1,7.59947e-08,2
99503, 2, 6,7.6101e-08,2
99503, 2, 0,7.65666e-08,2
99503, 2, 0,7.70323e-08,2
99503, 2, 9,7.70323e-08,2
99503, 2, 0,7.81965e-08,2
99503, 2, 9,7.81965e-08,2
99503, 2, 1,7.98263e-08,2
99503, 2, 11,8.00591e-08,2
99503, 2, 1,8.05248e-08,2
99503, 2, 0,8.16889e-08,2
99503, 2, 9,8.16889e-08,2
99503, 2, 6,8.35516e-08,2
99503, 2, 3,8.47157e-08,2
99503, 2, 6,8.47157e-08,2
99503, 2, 4,8.61127e-08,2
99503, 2, 8,8.63455e-08,2
99503, 2, 1,8.72768e-08,2
99503, 2, 0,8.93723e-08,2
99503, 2, 9,8.93723e-08,2
99503, 2, 1,9.07693e-08,2
99503, 2, 11,9.10021e-08,2
99503, 2, 0,9.19335e-08,2
99503, 2, 6,9.2632e-08,2
99503, 2, 3,9.37961e-08,2
99503, 2, 7,9.37961e-08,2
99503, 2, 3,9.47274e-08,2
99503, 2, 7,9.47274e-08,2
99503, 2, 4,9.58916e-08,2
99503, 2, 8,9.61244e-08,2
99503, 2, 0,9.75214e-08,2
99503, 2, 9,9.77542e-08,2
99503, 1, 10,9.77519e-08,2
99503, 1, 10,9.77532e-08,2
99503, 1, 9,9.79081e-08,2
99503, 1, 9,9.79095e-08,2
99503, 2, 1,9.79871e-08,2
99503, 1, 8,9.80472e-08,2
99503, 1, 8,9.80486e-08,2
99503, 1, 7,9.8153e-08,2
99503, 1, 7,9.81545e-08,2
99503, 1, 6,9.82736e-08,2
99503, 1, 6,9.82747e-08,2
99503, 1, 5,9.83569e-08,2
99503, 1, 5,9.83581e-08,2
99503, 1, 5,9.8363e-08,2
99503, 1, 5,9.83643e-08,2
99503, 1, 4,9.84102e-08,2
99503, 2, 6,9.84527e-08,2
99503, 1, 3,9.84424e-08,2
99503, 1, 2,9.84706e-08,2
99503, 1, 1,9.84887e-08,2
99503, 2, 0,9.91512e-08,2
99503, 2, 9,9.96169e-08,2
99503, 2, 0,9.96169e-08,2
99504, 2, 0,1.00781e-07,1
99504, 2, 9,1.00781e-07,1
99504, 2, 1,1.02178e-07,1
99504, 2, 6,1.03109e-07,1
99504, 1, 1,1.03236e-07,1
99504, 2, 1,1.03342e-07,1
99504, 1, 2,1.03289e-07,1
99504, 1, 3,1.03389e-07,1
99504, 1, 4,1.0346e-07,1
99504, 1, 5,1.03607e-07,1
99504, 1, 5,1.03613e-07,1
99504, 2, 2,1.03808e-07,1
99504, 2, 6,1.03808e-07,1
99504, 1, 6,1.03871e-07,1
99504, 1, 6,1.03874e-07,1
99504, 2, 2,1.04273e-07,1
99504, 1, 7,1.04267e-07,1
99504, 1, 7,1.0427e-07,1
99504, 1, 8,1.04657e-07,1
99504, 1, 8,1.04661e-07,1
99504, 1, 10,1.05669e-07,1
99504, 1, 10,1.05674e-07,1
99504, 2, 1,1.0567e-07,1
99504, 2, 11,1.0567e-07,1
99504, 2, 3,1.07533e-07,1
99504, 2, 7,1.07533e-07,1
