Event,ID,Stream,Time,Pclass
9500, 2, 4,-3.30689e-10,5
9500, 2, 11,1.85566e-11,5
9500, 2, 2,4.2601e-10,5
9500, 2, 5,8.91672e-10,5
9500, 2, 9,1.16816e-09,5
9500, 2, 10,1.86665e-09,5
9500, 1, 1,1.05487e-08,5
9500, 1, 2,1.05565e-08,5
9500, 1, 3,1.05651e-08,5
9500, 1, 4,1.05744e-08,5
9500, 1, 5,1.05901e-08,5
9500, 1, 5,1.05905e-08,5
9500, 1, 6,1.0617e-08,5
9500, 1, 6,1.06173e-08,5
9500, 1, 7,1.06543e-08,5
9500, 1, 7,1.06546e-08,5
9500, 1, 8,1.06842e-08,5
9500, 1, 8,1.06847e-08,5
9500, 1, 9,1.07269e-08,5
9500, 1, 10,1.07667e-08,5
9500, 1, 10,1.07671e-08,5
9500, 2, 3,1.08888e-08,5
9500, 2, 4,1.12526e-08,5
9500, 2, 1,1.13982e-08,5
9500, 2, 0,1.15146e-08,5
9500, 2, 2,1.20675e-08,5
9500, 2, 8,1.40175e-08,5
9500, 2, 10,1.48033e-08,5
9500, 2, 5,1.53854e-08,5
9500, 2, 11,1.58219e-08,5
9500, 2, 6,2.18755e-08,5
9500, 2, 0,2.18901e-08,5
9500, 2, 3,2.21229e-08,5
9500, 2, 9,2.23849e-08,5
9500, 2, 1,2.23994e-08,5
9500, 2, 4,2.24867e-08,5
9500, 2, 2,2.33016e-08,5
9501, 2, 5,2.65321e-08,1
9501, 1, 1,2.87327e-08,1
9501, 1, 2,2.88028e-08,1
9501, 1, 3,2.88957e-08,1
9501, 1, 4,2.89806e-08,1
9501, 1, 5,2.91898e-08,1
9501, 1, 5,2.91947e-08,1
9501, 1, 6,2.94812e-08,1
9501, 1, 6,2.94843e-08,1
9501, 1, 7,2.97569e-08,1
9501, 1, 7,2.97605e-08,1
9501, 1, 8,3.01144e-08,1
9501, 1, 8,3.01186e-08,1
9501, 2, 10,3.02865e-08,1
9501, 1, 9,3.06015e-08,1
9501, 1, 9,3.06059e-08,1
9501, 2, 7,3.08832e-08,1
9501, 1, 10,3.117e-08,1
9501, 1, 10,3.11748e-08,1
9501, 2, 3,3.16108e-08,1
9501, 2, 1,3.21637e-08,1
9501, 2, 0,3.27022e-08,1
9501, 2, 2,3.31096e-08,1
9501, 2, 4,3.4332e-08,1
9501, 2, 11,3.48704e-08,1
9501, 2, 8,3.74461e-08,1
9501, 2, 5,3.78535e-08,1
9501, 2, 9,3.8974e-08,1
9501, 2, 6,4.12732e-08,1
9501, 2, 3,4.33833e-08,1
9501, 2, 1,4.52023e-08,1
9501, 2, 2,4.60899e-08,1
9501, 2, 0,4.70795e-08,1
9501, 2, 4,4.92768e-08,1
9501, 2, 10,4.94223e-08,1
9502, 2, 5,5.16924e-08,0
9502, 2, 3,5.42972e-08,0
9502, 1, 10,5.50164e-08,0
9502, 1, 10,5.50215e-08,0
9502, 1, 9,5.55863e-08,0
9502, 1, 8,5.60628e-08,0
9502, 1, 8,5.6067e-08,0
9502, 1, 7,5.64367e-08,0
9502, 1, 7,5.64402e-08,0
9502, 1, 6,5.67101e-08,0
9502, 1, 6,5.67135e-08,0
9502, 1, 5,5.69816e-08,0
9502, 1, 5,5.69865e-08,0
9502, 1, 4,5.7183e-08,0
9502, 1, 3,5.72735e-08,0
9502, 1, 2,5.73629e-08,0
9502, 1, 1,5.74266e-08,0
9502, 2, 1,5.82699e-08,0
9502, 2, 2,5.83572e-08,0
9502, 2, 11,5.88956e-08,0
9502, 2, 6,5.92157e-08,0
9502, 2, 0,5.94922e-08,0
9502, 2, 4,6.00307e-08,0
9502, 2, 9,6.06564e-08,0
9502, 2, 7,6.13694e-08,0
9502, 2, 8,6.37268e-08,0
9502, 2, 5,6.4047e-08,0
9502, 2, 10,6.671e-08,0
9502, 2, 3,6.95331e-08,0
9502, 2, 1,7.15849e-08,0
9502, 2, 0,7.37677e-08,0
9503, 2, 6,7.87881e-08,4
9503, 2, 2,7.91955e-08,4
9503, 2, 4,8.07089e-08,4
9503, 1, 10,8.15286e-08,4
9503, 1, 10,8.1529e-08,4
9503, 1, 9,8.15727e-08,4
9503, 1, 9,8.1573e-08,4
9503, 1, 8,8.16018e-08,4
9503, 1, 8,8.16022e-08,4
9503, 1, 7,8.16372e-08,4
9503, 1, 6,8.16702e-08,4
9503, 1, 6,8.16705e-08,4
9503, 1, 5,8.16963e-08,4
9503, 1, 5,8.16973e-08,4
9503, 1, 4,8.17164e-08,4
9503, 1, 3,8.17254e-08,4
9503, 1, 2,8.17348e-08,4
9503, 1, 1,8.17396e-08,4
9503, 2, 5,8.25716e-08,4
9503, 2, 1,8.29063e-08,4
9503, 2, 3,8.311e-08,4
9503, 2, 0,8.33574e-08,4
9503, 2, 9,8.40995e-08,4
9503, 2, 11,8.42741e-08,4
9503, 2, 10,8.54237e-08,4
9503, 2, 8,9.15501e-08,4
9503, 2, 2,9.68616e-08,4
9503, 2, 1,9.91317e-08,4
9503, 2, 4,9.93499e-08,4
9505, 2, 2,1.26111e-07,0
9505, 2, 1,1.27581e-07,0
9505, 2, 4,1.2825e-07,0
9505, 2, 6,1.28978e-07,0
9505, 2, 3,1.29618e-07,0
9505, 2, 10,1.30709e-07,0
9505, 2, 0,1.31059e-07,0
9505, 2, 8,1.31859e-07,0
9505, 2, 5,1.40445e-07,0
9505, 2, 2,1.40721e-07,0
9505, 2, 1,1.41027e-07,0
9505, 1, 10,1.42911e-07,0
9505, 1, 10,1.42917e-07,0
9505, 2, 11,1.43209e-07,0
9505, 1, 9,1.435e-07,0
9505, 1, 9,1.43504e-07,0
9505, 1, 9,1.43577e-07,0
9505, 1, 9,1.43581e-07,0
9505, 2, 3,1.43835e-07,0
9505, 1, 8,1.43913e-07,0
9505, 1, 8,1.43917e-07,0
9505, 1, 8,1.43984e-07,0
9505, 1, 8,1.43988e-07,0
9505, 1, 7,1.44302e-07,0
9505, 1, 7,1.44305e-07,0
9505, 1, 6,1.44689e-07,0
9505, 1, 5,1.44905e-07,0
9505, 1, 5,1.44911e-07,0
9505, 1, 5,1.44971e-07,0
9505, 1, 4,1.45125e-07,0
9505, 2, 4,1.45159e-07,0
9505, 1, 3,1.45223e-07,0
9505, 2, 0,1.45218e-07,0
9505, 1, 2,1.45315e-07,0
9505, 1, 1,1.45375e-07,0
9505, 2, 7,1.46876e-07,0
9505, 2, 6,1.47095e-07,0
9505, 2, 2,1.49714e-07,0
9506, 2, 1,1.49947e-07,1
9506, 2, 10,1.50107e-07,1
9506, 2, 5,1.51693e-07,1
9506, 2, 9,1.55331e-07,1
9506, 2, 3,1.57718e-07,1
9506, 2, 0,1.61283e-07,1
9506, 2, 4,1.62462e-07,1
9506, 1, 1,1.62759e-07,1
9506, 1, 2,1.62824e-07,1
9506, 1, 3,1.62918e-07,1
9506, 1, 4,1.62992e-07,1
9506, 1, 5,1.63138e-07,1
9506, 1, 5,1.63144e-07,1
9506, 1, 6,1.63465e-07,1
9506, 1, 6,1.63468e-07,1
9506, 1, 7,1.63721e-07,1
9506, 1, 7,1.63724e-07,1
9506, 1, 8,1.64162e-07,1
9506, 1, 8,1.64166e-07,1
9506, 1, 8,1.64171e-07,1
9506, 1, 8,1.64176e-07,1
9506, 1, 9,1.64571e-07,1
9506, 1, 9,1.64576e-07,1
9506, 2, 1,1.64804e-07,1
9506, 2, 8,1.64935e-07,1
9506, 1, 10,1.65124e-07,1
9506, 1, 10,1.65129e-07,1
9506, 2, 2,1.65183e-07,1
9506, 2, 3,1.65867e-07,1
9506, 2, 6,1.661e-07,1
9506, 2, 5,1.66143e-07,1
9506, 2, 11,1.677e-07,1
9506, 2, 10,1.67758e-07,1
9509, 2, 11,2.25093e-07,3
9509, 2, 1,2.25486e-07,3
9509, 2, 4,2.25631e-07,3
9509, 2, 7,2.26985e-07,3
9509, 2, 2,2.28367e-07,3
9509, 2, 9,2.29313e-07,3
9509, 1, 1,2.30983e-07,3
9509, 1, 2,2.31002e-07,3
9509, 1, 3,2.31031e-07,3
9509, 1, 4,2.31058e-07,3
9509, 1, 5,2.31105e-07,3
9509, 1, 5,2.31107e-07,3
9509, 1, 5,2.31111e-07,3
9509, 1, 6,2.31212e-07,3
9509, 1, 6,2.31213e-07,3
9509, 1, 7,2.31292e-07,3
9509, 1, 8,2.31429e-07,3
9509, 1, 8,2.3143e-07,3
9509, 1, 9,2.31546e-07,3
9509, 2, 0,2.31627e-07,3
9509, 1, 10,2.31702e-07,3
9509, 1, 10,2.31703e-07,3
9509, 2, 10,2.32194e-07,3
9509, 2, 4,2.32485e-07,3
9509, 2, 3,2.32718e-07,3
9509, 2, 11,2.33373e-07,3
9509, 2, 5,2.33839e-07,3
9509, 2, 8,2.35061e-07,3
9509, 2, 1,2.35381e-07,3
9509, 2, 6,2.40082e-07,3
9509, 2, 2,2.43443e-07,3
9509, 2, 0,2.43559e-07,3
9509, 2, 3,2.45509e-07,3
9509, 2, 5,2.46062e-07,3
9509, 2, 4,2.46121e-07,3
9509, 2, 9,2.47416e-07,3
9509, 2, 10,2.48434e-07,3
9511, 2, 4,2.75501e-07,5
9511, 2, 8,2.76243e-07,5
9511, 2, 5,2.77131e-07,5
9511, 2, 3,2.77975e-07,5
9511, 2, 1,2.78047e-07,5
9511, 2, 0,2.81947e-07,5
9511, 2, 2,2.86284e-07,5
9511, 1, 1,2.87959e-07,5
9511, 1, 2,2.87964e-07,5
9511, 1, 3,2.8797e-07,5
9511, 1, 4,2.87978e-07,5
9511, 1, 5,2.87993e-07,5
9511, 1, 5,2.87993e-07,5
9511, 1, 6,2.88019e-07,5
9511, 1, 6,2.8802e-07,5
9511, 1, 6,2.88024e-07,5
9511, 1, 7,2.88056e-07,5
9511, 1, 7,2.88057e-07,5
9511, 1, 8,2.88093e-07,5
9511, 1, 8,2.88093e-07,5
9511, 1, 9,2.88128e-07,5
9511, 1, 9,2.88128e-07,5
9511, 1, 10,2.88167e-07,5
9511, 1, 10,2.88168e-07,5
9511, 1, 10,2.88174e-07,5
9511, 2, 6,2.88438e-07,5
9511, 2, 9,2.89209e-07,5
9511, 2, 7,2.89383e-07,5
9511, 2, 3,2.89456e-07,5
9511, 2, 4,2.89471e-07,5
9511, 2, 10,2.89704e-07,5
9511, 2, 11,2.90009e-07,5
9511, 2, 1,2.91406e-07,5
9511, 2, 0,2.93007e-07,5
9511, 2, 5,2.93167e-07,5
9511, 2, 2,2.98056e-07,5
9512, 2, 3,3.00763e-07,2
9512, 2, 4,3.01767e-07,2
9512, 2, 1,3.02349e-07,2
9512, 2, 8,3.03368e-07,2
9512, 2, 0,3.07399e-07,2
9512, 2, 10,3.07966e-07,2
9512, 2, 5,3.12754e-07,2
9512, 2, 2,3.14267e-07,2
9512, 1, 10,3.14891e-07,2
9512, 1, 10,3.14892e-07,2
9512, 1, 9,3.15045e-07,2
