Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.58466e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.16932e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.75398e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.03386e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.29233e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.5508e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.80926e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.06773e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.3262e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.58466e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.84313e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.74107e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.63901e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.53696e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.04349e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.23328e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.42308e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.61287e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.80267e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.99246e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.18226e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.37205e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.39292e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.41379e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.43465e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.45552e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.47639e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.49726e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.51812e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.53899e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.55986e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.58073e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.60159e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.71875e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.8359e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.95306e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.07022e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.18737e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.30453e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.42168e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.53884e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.65599e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.77315e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.8903e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.31861e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.74693e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.17524e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
