Event,ID,Stream,Time,Pclass
99501, 1, 45,3.51228e-08,4
99501, 1, 45,3.51228e-08,4
99501, 1, 45,3.51228e-08,4
99501, 1, 45,3.51228e-08,4
99501, 1, 37,3.51228e-08,4
99501, 1, 37,3.51228e-08,4
99501, 1, 37,3.51228e-08,4
99501, 1, 37,3.51228e-08,4
99501, 1, 30,3.53556e-08,4
99501, 1, 30,3.53556e-08,4
99501, 1, 30,3.53556e-08,4
99501, 1, 30,3.53556e-08,4
99501, 1, 22,3.53556e-08,4
99501, 1, 22,3.53556e-08,4
99501, 1, 22,3.53556e-08,4
99501, 1, 22,3.53556e-08,4
99501, 1, 21,3.53556e-08,4
99501, 1, 21,3.53556e-08,4
99501, 1, 21,3.53556e-08,4
99501, 1, 21,3.53556e-08,4
99501, 1, 16,3.53556e-08,4
99501, 1, 16,3.53556e-08,4
99501, 1, 16,3.53556e-08,4
99501, 1, 16,3.53556e-08,4
99501, 1, 10,3.53556e-08,4
99501, 1, 10,3.53556e-08,4
99501, 1, 10,3.53556e-08,4
99501, 1, 10,3.53556e-08,4
99501, 1, 7,3.53556e-08,4
99501, 1, 7,3.53556e-08,4
99501, 1, 5,3.53556e-08,4
99501, 1, 5,3.53556e-08,4
99501, 1, 3,3.53556e-08,4
99501, 1, 3,3.53556e-08,4
99501, 1, 2,3.53556e-08,4
99501, 1, 2,3.53556e-08,4
99501, 2, 16,3.55884e-08,4
99501, 2, 17,3.55884e-08,4
99501, 2, 30,3.55884e-08,4
99501, 2, 29,3.55884e-08,4
99501, 2, 8,3.58213e-08,4
99501, 2, 9,3.58213e-08,4
99501, 2, 2,3.58213e-08,4
99501, 2, 3,3.58213e-08,4
99501, 2, 15,3.58213e-08,4
99501, 2, 16,3.58213e-08,4
99501, 2, 10,3.58213e-08,4
99501, 2, 11,3.58213e-08,4
99501, 2, 12,3.58213e-08,4
99501, 2, 13,3.58213e-08,4
99501, 2, 6,3.58213e-08,4
99501, 2, 7,3.58213e-08,4
99503, 1, 46,7.51697e-08,2
99503, 1, 46,7.51697e-08,2
99503, 1, 46,7.51697e-08,2
99503, 1, 46,7.51697e-08,2
99503, 1, 37,7.54025e-08,2
99503, 1, 37,7.54025e-08,2
99503, 1, 37,7.54025e-08,2
99503, 1, 37,7.54025e-08,2
99503, 1, 29,7.54025e-08,2
99503, 1, 29,7.54025e-08,2
99503, 1, 29,7.54025e-08,2
99503, 1, 29,7.54025e-08,2
99503, 1, 22,7.56353e-08,2
99503, 1, 22,7.56353e-08,2
99503, 1, 22,7.56353e-08,2
99503, 1, 22,7.56353e-08,2
99503, 1, 15,7.56353e-08,2
99503, 1, 15,7.56353e-08,2
99503, 1, 15,7.56353e-08,2
99503, 1, 15,7.56353e-08,2
99503, 1, 10,7.58681e-08,2
99503, 2, 25,7.58681e-08,2
99503, 1, 10,7.58681e-08,2
99503, 2, 24,7.58681e-08,2
99503, 1, 10,7.58681e-08,2
