tau_m,tau_s,tau_plus,tau_minus,a_minus,a_plus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitness
3.1964809384164224e-10,3.7727272727272725e-10,6.196539589442815e-09,4.1628119908765075e-09,5.2777290322580646e-05,0.000115625,0.1624633431085044,0.8891495601173021,0.6656891495601173,0.23020527859237538,0.8914222873900294,0.26063049853372433,0
3.1231671554252203e-10,4.804985337243402e-10,6.202697947214076e-09,1.7733952427500815e-09,5.4576516129032255e-05,5.332661290322581e-05,0.1624633431085044,0.4475073313782991,0.6199413489736071,0.23020527859237538,0.8478739002932552,0.7251466275659825,0
2.684017595307918e-09,3.854838709677419e-10,5.020293255131965e-09,4.303365917236885e-09,0.00022010529032258063,4.36491935483871e-05,0.1624633431085044,0.9208211143695014,0.2750733137829912,0.19941348973607037,0.7211876832844575,0.4104105571847507,0.98
2.669354838709678e-09,5.368035190615836e-10,6.196539589442815e-09,1.7821798631476052e-09,5.483354838709677e-05,0.00016068548387096777,0.47565982404692086,0.30762463343108504,0.7255131964809385,0.28651026392961876,0.6367302052785924,0.26063049853372433,0.98
2.698680351906159e-09,7.444281524926687e-10,5.710029325513196e-09,7.49218312153796e-09,0.00022010529032258063,0.00016250000000000002,0.9824046920821115,0.3041055718475073,0.975366568914956,0.19941348973607037,0.7218475073313784,0.4117302052785924,0.98
2.684017595307918e-09,7.350439882697948e-10,4.133489736070381e-09,6.929967416096448e-09,0.00015456206451612903,0.00016250000000000002,0.8134897360703812,0.529325513196481,0.8891495601173021,0.42639296187683284,0.638049853372434,0.40117302052785925,0.98
6.642228739002933e-10,3.7727272727272725e-10,6.153431085043988e-09,1.7733952427500815e-09,5.6889806451612904e-05,0.00020725806451612905,0.17653958944281525,0.8909090909090909,0.7351906158357772,0.11935483870967742,0.837316715542522,0.7251466275659825,0
3.1598240469208216e-10,6.306451612903226e-10,6.541407624633431e-09,4.1979504724666015e-09,0.00012037677419354837,0.00011441532258064517,0.17653958944281525,0.9313782991202345,0.5636363636363636,0.23020527859237538,0.7225073313782991,0.34508797653958945,0
3.1964809384164224e-10,3.7727272727272725e-10,6.196539589442815e-09,4.1628119908765075e-09,5.2777290322580646e-05,0.00011592741935483871,0.1624633431085044,0.8909090909090909,0.6973607038123166,0.6806451612903226,0.8914222873900294,0.26590909090909093,0
1.280058651026393e-09,6.282991202346041e-10,6.202697947214076e-09,1.7733952427500815e-09,5.4576516129032255e-05,5.332661290322581e-05,0.1624633431085044,0.46158357771260994,0.6190615835777127,0.27243401759530794,0.8478739002932552,0.72316715542522,-0.0151515
