NL0, NL1,tau_m,tau_s,tau_r,tau_plus,tau_minus,a_plus,a_minus,TH0,TH1,K1,K2,Efficiency,FakeRate,Selectivity, #ID
9.0,11.0,7.369284353887373e-09,9.976162846815061e-09,3.734071825087622e-09,3.0298191322062324e-09,7.249871919674678e-09,7.920073660426172e-05,6.740945175151412e-05,0.6552828027323537,0.7631598245634579,1.2413744719589586,2.398745692600216,0,1,0,900000
8.0,7.0,1.894346685881851e-09,6.56080716568613e-09,2.6468965775657234e-09,1.7352623071718687e-09,7.095122876307446e-09,1.1910628550767901e-05,8.650684991772566e-05,0.9259517201230134,0.8518887454281912,5.485496644594053,7.222024751854958,0,1,0,900003
10.0,10.0,8.333661947632564e-09,4.780983319212495e-09,8.442216988857963e-09,9.219252518271216e-09,8.786111883015315e-09,6.209440027269935e-05,7.592895091277403e-05,0.7793108675443909,0.6227351892200838,2.0702297115404176,1.0197377837539436,0,1,0,900004
10.0,6.0,1.820275410727039e-09,1.0541490535290416e-09,3.3987545169678474e-09,9.623028086141108e-10,8.91724443767158e-09,7.335211396084013e-05,5.561252664507792e-05,0.6088017406440236,0.9075092538898686,7.499587089178574,2.377346618870926,0,1,0,900005
11.0,10.0,9.431078122199713e-09,2.98358791744881e-09,9.930085546729714e-10,9.310626134751325e-09,7.53836753984758e-09,3.320367877535626e-05,1.949365271801118e-05,0.631759173380546,0.6103399526032652,9.625604228735513,1.1698079623714674,0,1,0,900006
5.0,6.0,2.1351789302067266e-09,6.043079948962686e-09,8.163760089349761e-09,1.42400561042619e-09,8.801946695082985e-09,9.600469948145354e-05,2.0341249166993964e-05,0.8304444945425986,0.6814944768855765,5.989230508080493,4.622046943703154,0,1,0,900009
9.0,10.0,1.5487439496118308e-09,4.804897430139911e-09,5.512849202941628e-09,8.825519824146424e-09,8.168486039522617e-09,9.371792490540274e-05,5.8957402571939466e-05,0.8982062481169606,0.7454900448116842,7.401931872247702,6.313451346480465,0,1,0,900012
8.0,6.0,7.745229180433379e-10,1.6969802086588776e-09,9.19111478949855e-09,7.913952102936797e-09,1.2727678057337669e-09,8.743785192766936e-05,2.2072536189727263e-05,0.9470747733089864,0.8561125593231675,8.839918894365399,8.09692332243068,0,1,0,900013
10.0,5.0,9.54964942652611e-09,1.0646043320043894e-09,6.489761674485524e-09,1.218387938471103e-09,3.3906139672695416e-09,8.546208901972271e-06,2.5780303243531594e-05,0.7407309357298884,0.7727453205058744,4.052261688859168,3.951627575363215,0,1,0,900015
9.0,11.0,7.342981013108008e-10,4.41047683401901e-09,2.7948699539010556e-09,9.26184630987891e-09,2.8674601984805507e-09,6.952454410470135e-05,7.904987849904354e-05,0.6234790081085686,0.6271187136125524,8.355767942968917,5.503161503801724,0,1,0,900008
7.0,11.0,9.873894238717319e-09,7.354076276128655e-09,1.5638009730589678e-09,3.728270842166169e-09,7.191757843872897e-09,7.487295931297702e-05,7.701108735351812e-05,0.866232698254649,0.9108506911160712,8.69820444035797,1.2559928527150466,0,1,0,900011
6.0,9.0,7.2949637403558816e-09,7.4436381260216735e-09,2.884803550894129e-09,2.009560073484542e-09,3.7778244047378865e-09,5.0648108447470615e-05,2.730061019175246e-06,0.94433457554047,0.6888460363364934,9.473540536806462,4.079684071493094,0,1,0,900014
8.0,10.0,8.545280272153788e-09,7.216975680776814e-09,5.966776750032828e-10,2.121671260300536e-09,4.624989393204476e-09,6.71986076142318e-06,2.1939735690199466e-05,0.6940131402119868,0.9165044169392681,7.857031643840508,7.471695691830202,0,1,0,900010
11.0,9.0,9.716356824165256e-10,6.8572961664542345e-09,9.188793210710537e-09,3.888168134929891e-09,8.19764291860291e-09,8.869067862518506e-05,4.0084000167561716e-05,0.7468813216072234,0.6660709263069552,1.6648486557101427,7.724839211635802,0,1,0,900017
6.0,9.0,7.195955606452839e-09,9.25116564078176e-09,4.204736068576842e-09,1.9175732969663654e-09,1.1701883942782205e-09,7.5843533419077e-05,1.0360178678520058e-05,0.8577556792952084,0.7083000391456898,7.350697482390437,8.35112959649871,0,1,0,900018
6.0,11.0,5.651168969838484e-09,7.454433158453998e-09,2.1446786736810478e-09,9.701321711707653e-09,7.73587155250672e-09,1.3181984423099557e-05,2.8638552897360104e-06,0.7751200326296499,0.8055560118144491,2.4760951390803903,6.661674089198884,0,1,0,900019
6.0,7.0,5.6621709535568746e-09,1.548758379649662e-09,9.783734498939023e-09,9.198656676927744e-09,3.744926716812956e-09,4.841473116614795e-05,8.890836155617197e-05,0.8678614502663597,0.6688150046072743,2.087860057728353,4.418448222333064,0.9806709289550781,0.9893330931663513,0.1752772033214569,900018
8.0,6.0,8.712847544360122e-09,5.044552898896835e-09,9.048547715162289e-09,5.116301722994751e-09,9.212978899522806e-09,8.413548293707734e-05,3.0665382525273906e-05,0.6074078706524416,0.8548603035122552,4.741076925018207,9.223046342925697,0.8912943005561829,0.9893330931663513,0.16253149509429932,900011
5.0,10.0,5.370560966076654e-09,1.5137694375198602e-10,4.902695617310272e-09,6.817528067046949e-09,4.725730549319325e-09,9.314166507043748e-05,7.766676836920348e-05,0.8011085018793139,0.813643180593549,5.580824019375632,8.748892233741575,0.9966316223144531,0.9893330931663513,0.03638140857219696,900002
