Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
1,2.01032e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,3.35312e-11,0.000161261,4.47516e-05,0.000116001,0.000123695,1.77377e-05,1.56438e-05,0.000165532,1.85756e-05,0.000202645,8.54266e-06,1.52703e-05,3.23091e-05
1,8.62863e-11,0.00418088,0.000651623,0.00231284,0.00262983,0.00047802,0.00054763,0.00322054,0.000217459,0.00320299,0.00025715,0.000134232,0.000286514
1,4.33416e-10,0.0139531,0.00301956,0.00965772,0.0113585,0.0178199,0.0053582,0.0159952,0.0171091,0.0135236,0.00193291,0.0159402,0.00183922
1,7.09389e-10,0.0145866,0.0130672,0.0144376,0.0145768,0.0194352,0.0158083,0.0210151,0.0187162,0.0164212,0.0146441,0.0169682,0.0144078
1,8.61714e-10,0.0214043,0.014894,0.0182434,0.018725,0.0190448,0.0175338,0.0258968,0.0177842,0.0208834,0.0162956,0.0159164,0.0158857
1,8.9256e-10,0.0224593,0.0150811,0.0188989,0.0195124,0.0188563,0.0176222,0.0267184,0.0175147,0.0217599,0.0163789,0.0156407,0.0159382
1,1.18584e-09,0.0262325,0.0146278,0.0208398,0.022043,0.0160177,0.0161135,0.02902,0.0144891,0.0252996,0.014914,0.0127714,0.0146572
1,1.2702e-09,0.0288395,0.0148228,0.0232054,0.0246123,0.0153459,0.0158187,0.0311625,0.0137669,0.0282334,0.0144654,0.0120127,0.0142865
1,1.51971e-09,0.0310904,0.0139756,0.02551,0.0274807,0.0130461,0.0139331,0.0328232,0.0114515,0.0315312,0.012485,0.00979315,0.0123668
1,1.61952e-09,0.0307357,0.0187375,0.0275201,0.0286677,0.0130433,0.0187485,0.0346143,0.0114924,0.0324774,0.0185531,0.00960023,0.0183746
1,1.69672e-09,0.031123,0.0213982,0.0303337,0.0310641,0.0133784,0.0233017,0.037996,0.0117782,0.0351836,0.0216591,0.00962765,0.021312
1,2.17118e-09,0.026161,0.0212024,0.0290858,0.0290317,0.0109029,0.0254652,0.0364387,0.00961927,0.0336267,0.0217078,0.00751803,0.0214503
1,2.34807e-09,0.0244766,0.0189646,0.026814,0.0266203,0.00964864,0.0226346,0.0331013,0.0084862,0.0312403,0.0193203,0.0066054,0.019036
1,2.63599e-09,0.021394,0.0252967,0.026938,0.0251825,0.00941886,0.0285198,0.0321783,0.00843573,0.0289118,0.0281503,0.00633956,0.027754
1,3.63807e-09,0.0173809,0.0132549,0.016178,0.015837,0.00502172,0.0146131,0.0199782,0.00396852,0.0178555,0.0143627,0.00285133,0.0139861
1,3.66111e-09,0.0173157,0.0130397,0.0160936,0.0158321,0.0049443,0.0143212,0.019891,0.0038943,0.0178599,0.0140704,0.00279481,0.013692
1,5.04692e-09,0.00560715,0.00406301,0.00615957,0.00669167,0.0101145,0.00563467,0.00922909,0.00987199,0.00762113,0.00422452,0.00908768,0.00402289
1,5.25112e-09,0.00583344,0.0122149,0.00961383,0.00874397,0.00990584,0.013857,0.0125144,0.00965862,0.00932177,0.0146096,0.00848967,0.0143235
1,5.35158e-09,0.0115307,0.0143024,0.0130428,0.0123739,0.0101012,0.0159252,0.0169522,0.00941606,0.0132389,0.0166953,0.00809459,0.0162781
