Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.82757e-12,0,0,0,0,0,0,0,0,0,0,0,0
1,3.65513e-12,0,0,0,0,0,0,0,0,0,0,0,0
1,5.4827e-12,0,0,0,0,0,0,0,0,0,0,0,0
1,7.31027e-12,0,0,0,0,0,0,0,0,0,0,0,0
1,9.13783e-12,0,0,0,0,0,0,0,0,0,0,0,0
1,1.09654e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,1.2793e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,1.46205e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,1.64481e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,1.82757e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.01032e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.1324e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.25447e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.37654e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.49861e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.62069e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.74276e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.86483e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,2.9869e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,3.10898e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,3.23105e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,3.35312e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,3.83271e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,4.3123e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,4.7919e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,5.27149e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,5.75108e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,6.23067e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,6.71026e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,7.18985e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,7.66944e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,8.14904e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,8.62863e-11,0,0,0,0,0,0,0,0,0,0,0,0
1,1.17844e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,1.49401e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,1.80958e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,2.12515e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,2.44073e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,2.7563e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,3.07187e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,3.38744e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,3.70302e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,4.01859e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,4.33416e-10,0,0,0,0,0,0,0,0,0,0,0,0
1,4.58505e-10,0.0135485,0,0.017074,0.0036988,0.015044,0,0,0,0,0,0,0
1,4.83593e-10,0.0239702,0,0.0302076,0.00654397,0.0266161,0,0,0,0,0,0,0
1,5.08682e-10,0.0318662,0,0.0401582,0.00869959,0.0353836,0,0,0,0,0,0,0
1,5.3377e-10,0.0377265,0,0.0475435,0.0102995,0.0418908,0,0,0,0,0,0,0
1,5.58858e-10,0.0419507,0,0.0528669,0.0114527,0.0465813,0,0,0,0,0,0,0
