tau_m,tau_s,tau_r,tau_plus,tau_minus,a_plus,a_minus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitnessEff,fitnessFake,fitnessSel
6.30451474097167e-10,4.529455291542796e-09,8.537901732741048e-09,6.094870623865016e-10,1.5602951529171903e-09,1.371889653113672e-05,7.424606220811906e-05,0.7573846316067463,0.6893276628931422,0.8025606939011682,0.1365013062388843,0.9409863679010947,0.6314509276671691,0.0,0.0,0.0
4.67086678713518e-09,1.9695047864138134e-09,4.851010294451138e-09,5.467106740371755e-09,4.262017525956154e-09,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.5610488218891452,0.2608801746186037,0.7158434493363932,0.9180268642713025,1.0,0.9966,0.215346
1.1081914646566825e-09,9.244653105934579e-09,6.734531160580068e-09,1.986397584393062e-09,7.90992316745058e-10,7.5947703570960125e-06,2.998942508334136e-05,0.64985996061349,0.8637522843687085,0.6152521032213338,0.47095346568898,0.9482347087882506,0.8576615163476717,0.0,0.0,0.0
5.973891269909498e-09,1.5633940889418974e-09,1.579414724055145e-09,6.507730762752466e-09,5.153763861133068e-09,1.039391652173076e-05,1.2485229517127355e-05,0.5162420884180837,0.6126045318435934,0.7194191875281717,0.2914586003464121,0.9372796091978142,0.7368507551323336,1.0,0.9966,0.0843143
8.818519320555915e-09,6.1770721150412085e-09,8.91198822758446e-09,2.9491212831328694e-09,3.311489809807015e-09,5.4701322153926254e-05,3.0208306278731407e-05,0.8694576748072437,0.604664896982413,0.8102729330734217,0.3196850554898574,0.6412054609651101,0.8912772701133295,0.973884,0.9932,0.43698
7.895311693128424e-09,2.960454935028137e-09,1.9371022860695106e-09,5.125365759536614e-09,2.6748331999756893e-09,8.362368858587936e-05,4.0512438132940465e-05,0.8345074207789813,0.5541221242629035,0.6966143591716173,0.9771795600145686,0.8002597659276913,0.7719504761748883,1.0,0.9966,0.20912
6.926892457761216e-09,9.477592800830433e-10,8.351335253885064e-10,3.1033415465157054e-09,4.985103242758956e-09,8.308848395703347e-05,2.8264860775738572e-05,0.7203847609394425,0.6396448188629626,0.7808568124118043,0.7809250430869723,0.6528895508529631,0.7332005030280644,1.0,0.9966,0.0884093
1.3971152017170695e-09,1.338635727447213e-09,9.045521459674457e-09,9.141273948241299e-10,3.2665845309820353e-09,9.080743959513616e-05,7.013798744192454e-05,0.5995621701323726,0.8897513344170039,0.6844263047544723,0.31290804328260746,0.7677272305859677,0.8513507413259209,0.0,0.0,0.0
2.6537101398616347e-09,9.915191696534689e-09,3.389298285706796e-09,9.962768311171437e-09,4.680578126635891e-09,9.629452418864564e-05,8.60164557313812e-05,0.6485712224074444,0.8228417559889378,0.7277584509090276,0.7536780303753893,0.8916828760611502,0.6923696315033567,0.0,0.0,0.0
2.6398683675485728e-09,8.704650642815633e-09,9.472933164606798e-09,4.805071295581651e-09,3.008564631541317e-09,4.3347415008644485e-05,4.534254130765818e-05,0.8041167740030917,0.6861079970313935,0.6934341353620546,0.8666543381460641,0.8237541341738377,0.9297094828655881,0.0,0.0,0.0
